shift_date,shift_type,start_time,end_time,hours_worked,gross_earnings,estimated_miles,orders_completed,avg_dollars_per_mile,dash_zone,bonus_active,notes
11/03/2025,Dinner,5:00 PM,12:00 AM,7.00,70.74,73.0,12,0.97,Southwest,No,Accepted most offers; several long-distance orders.
11/06/2025,Lunch,10:45 AM,5:00 PM,6.25,64.67,62.4,10,1.04,Henderson,No,Chased a bonus outside the best zone.
11/07/2025,Weekend Dinner,4:30 PM,9:45 PM,5.25,52.87,74.6,9,0.71,Henderson,No,Long shift with weak late-hour demand.
11/08/2025,Peak Pay,5:30 PM,10:30 PM,5.00,43.73,57.0,7,0.77,Summerlin,Yes,Chased a bonus outside the best zone.
11/09/2025,Open Schedule,2:30 PM,8:00 PM,5.50,44.78,74.9,7,0.60,Henderson,No,Long shift with weak late-hour demand.
11/14/2025,Dinner,5:30 PM,1:15 AM,7.75,70.59,112.0,13,0.63,Henderson,No,No firm minimum payout rule yet.
11/15/2025,Peak Pay,4:00 PM,10:45 PM,6.75,75.85,94.7,10,0.80,Southwest,Yes,Waited too long at a slow merchant; low order turnover.
11/16/2025,Peak Pay,5:00 PM,12:00 AM,7.00,59.22,73.3,8,0.81,Henderson,Yes,Chased a bonus outside the best zone.
11/21/2025,Peak Pay,4:30 PM,11:15 PM,6.75,74.08,74.7,12,0.99,Southwest,Yes,Long shift with weak late-hour demand.
11/22/2025,Dinner,6:00 PM,11:45 PM,5.75,50.13,65.7,9,0.76,Southwest,No,Accepted most offers; several long-distance orders.
11/23/2025,Dinner,4:00 PM,10:45 PM,6.75,64.21,87.3,10,0.74,North Las Vegas,Yes,Stacked order looked good but added excessive miles.
11/30/2025,Weekend Dinner,5:30 PM,12:15 AM,6.75,45.14,57.2,9,0.79,Green Valley,No,Stacked order looked good but added excessive miles.
12/02/2025,Open Schedule,3:00 PM,9:00 PM,6.00,58.9,94.3,10,0.62,Henderson,No,Long shift with weak late-hour demand.
12/03/2025,Open Schedule,2:30 PM,8:30 PM,6.00,52.21,63.8,9,0.82,Southwest,No,No firm minimum payout rule yet.
12/05/2025,Peak Pay,4:30 PM,10:00 PM,5.50,52.13,52.2,8,1.00,Henderson,Yes,Chased a bonus outside the best zone.
12/06/2025,Weekend Dinner,5:30 PM,11:30 PM,6.00,63.92,67.2,10,0.95,Summerlin,No,Waited too long at a slow merchant; low order turnover.
12/07/2025,Peak Pay,5:00 PM,10:30 PM,5.50,57.07,59.9,9,0.95,North Las Vegas,Yes,Long shift with weak late-hour demand.
12/09/2025,Dinner,5:30 PM,11:30 PM,6.00,53.45,61.2,9,0.87,Southwest,No,Waited too long at a slow merchant; low order turnover.
12/13/2025,Weekend Dinner,5:30 PM,12:15 AM,6.75,50.43,79.5,8,0.63,Green Valley,No,Accepted most offers; several long-distance orders.
12/14/2025,Open Schedule,3:00 PM,8:15 PM,5.25,32.41,41.4,6,0.78,Green Valley,No,No firm minimum payout rule yet.
12/19/2025,Weekend Dinner,4:30 PM,11:15 PM,6.75,69.72,68.4,12,1.02,Green Valley,Yes,Stacked order looked good but added excessive miles.
12/20/2025,Weekend Dinner,6:00 PM,1:15 AM,7.25,62.01,78.1,13,0.79,Summerlin,No,Chased a bonus outside the best zone.
12/21/2025,Dinner,5:00 PM,12:15 AM,7.25,89.24,86.6,13,1.03,North Las Vegas,Yes,Stacked order looked good but added excessive miles.
12/27/2025,Weekend Dinner,6:00 PM,12:00 AM,6.00,46.04,51.2,8,0.90,North Las Vegas,No,Chased a bonus outside the best zone.
12/28/2025,Weekend Dinner,5:30 PM,12:30 AM,7.00,69.7,90.9,12,0.77,North Las Vegas,No,Long shift with weak late-hour demand.
12/30/2025,Peak Pay,5:00 PM,10:45 PM,5.75,53.4,73.9,8,0.72,Green Valley,Yes,Waited too long at a slow merchant; low order turnover.
12/31/2025,Dinner,6:00 PM,12:00 AM,6.00,46.67,58.5,8,0.80,North Las Vegas,No,Waited too long at a slow merchant; low order turnover.
01/03/2026,Peak Pay,6:00 PM,11:15 PM,5.25,77.66,29.8,10,2.61,Henderson,Yes,Used $1.50/mile as a minimum screening rule.
01/04/2026,Weekend Dinner,5:00 PM,10:30 PM,5.50,54.81,27.1,8,2.02,North Las Vegas,No,Ended shift earlier when hourly rate began falling.
01/08/2026,Dinner,5:30 PM,10:00 PM,4.50,43.39,24.0,8,1.81,Henderson,No,Tested a preferred merchant list; fewer long waits.
01/09/2026,Peak Pay,4:30 PM,10:00 PM,5.50,61.67,16.5,9,3.74,Southwest,Yes,Used $1.50/mile as a minimum screening rule.
01/11/2026,Weekend Dinner,4:30 PM,9:30 PM,5.00,53.75,19.1,8,2.81,Henderson,No,Used $1.50/mile as a minimum screening rule.
01/15/2026,Dinner,4:00 PM,8:45 PM,4.75,61.97,24.8,9,2.50,Henderson,No,Started declining offers below $7 unless mileage was very low.
